Titel;Rezept;Morgen;Abend;Mittag;Fleisch;Fisch
23er Griespudding mit Rhabarber Kompott;;FALSE;TRUE;FALSE;FALSE;FALSE
Brot mit Kaese;;TRUE;TRUE;FALSE;FALSE;FALSE
Pellkartoffel mit Topfen;;FALSE;TRUE;FALSE;FALSE;FALSE
knaeckebrot mit irgendwas;;TRUE;TRUE;FALSE;FALSE;FALSE
Kaeferbohnensalat;;FALSE;TRUE;FALSE;FALSE;FALSE
Eierspeis mit knaeckebrot;;FALSE;TRUE;FALSE;FALSE;FALSE
Pollenta mit Pilzsoue;;FALSE;TRUE;FALSE;FALSE;FALSE
Raeucherfisch;;FALSE;TRUE;FALSE;FALSE;FALSE
Zucchini-Lachs-Ricotta Rullchen;;FALSE;TRUE;FALSE;FALSE;FALSE
Apfel und Hirsebrei;;TRUE;FALSE;FALSE;FALSE;FALSE
Apfel und Griesbrei;;TRUE;FALSE;FALSE;FALSE;FALSE
Apfel und Mehrkornerbrei;;TRUE;FALSE;FALSE;FALSE;FALSE
Apfel und Haferbrei;;TRUE;FALSE;FALSE;FALSE;FALSE
Fruchtmixshake-SChlemmerfruhstuck;;TRUE;FALSE;FALSE;FALSE;FALSE
Obstteller;;TRUE;TRUE;FALSE;FALSE;FALSE
Gemusebrotchen;;TRUE;TRUE;FALSE;FALSE;FALSE
Kasebrotchen;;TRUE;TRUE;FALSE;FALSE;FALSE
Fischfruestueck;;TRUE;FALSE;FALSE;FALSE;FALSE
Dorade fisch;;FALSE;FALSE;TRUE;FALSE;TRUE
Nudeln mit spinat und lachs;;FALSE;FALSE;TRUE;FALSE;TRUE
Wels mit kartoffel;;FALSE;FALSE;TRUE;FALSE;TRUE
Fisch divers;ala Buch;FALSE;FALSE;TRUE;FALSE;TRUE
Fisch divers;ala Buch;FALSE;FALSE;TRUE;FALSE;TRUE
Fisch divers;ala Buch;FALSE;FALSE;TRUE;FALSE;TRUE
Fisch divers;ala Buch;FALSE;FALSE;TRUE;FALSE;TRUE
Fisch divers;ala Buch;FALSE;FALSE;TRUE;FALSE;TRUE
Mexikanische Blaetterteigtaschen;TK Blaetterteig gefüllt mit vorgekochtem. zB Kiddneybohnen, Mais, Kraut, Faschiertes, Tomaten,…;FALSE;FALSE;TRUE;TRUE;FALSE
Mexikanische Blaetterteigtaschen vegi;TK Blaetterteig gefüllt mit vorgekochtem. zB Kiddneybohnen, Mais, Kraut, Sojagranulat, Tomaten,…;FALSE;FALSE;TRUE;FALSE;FALSE
Cottage Pie;;FALSE;FALSE;TRUE;TRUE;FALSE
Civapcici;;FALSE;FALSE;TRUE;TRUE;FALSE
Fleisch-Quiche;;FALSE;FALSE;TRUE;TRUE;FALSE
tafelspitz / schulter;;FALSE;FALSE;TRUE;TRUE;FALSE
GALLO pinto;;FALSE;FALSE;TRUE;TRUE;FALSE
Sis yogurtlu lamm;;FALSE;FALSE;TRUE;TRUE;FALSE
gefullter schweinebauch;;FALSE;FALSE;TRUE;TRUE;FALSE
Burger alto adige;;FALSE;FALSE;TRUE;TRUE;FALSE
Lasagne;;FALSE;FALSE;TRUE;TRUE;FALSE
Salat mit Huehnerstreifen;Mischsalat mit Huehnerstreifen oder Putenstreifen;FALSE;TRUE;TRUE;TRUE;FALSE
Ritschert;;FALSE;FALSE;TRUE;TRUE;FALSE
Pulled stgh, zb. Pork oder Truthahn;;FALSE;FALSE;TRUE;TRUE;FALSE
verschierter braten mit sellerie;;FALSE;FALSE;TRUE;TRUE;FALSE
Wok mit Fleisch;;FALSE;FALSE;TRUE;TRUE;FALSE
Fleisch divers;;FALSE;FALSE;TRUE;TRUE;FALSE
Portobello pilz lawalan;;FALSE;FALSE;TRUE;FALSE;FALSE
spinat kartoffel frittata;;FALSE;FALSE;TRUE;FALSE;FALSE
Vegi-Quiche;;FALSE;FALSE;TRUE;FALSE;FALSE
Knodel mit Linsen;;FALSE;FALSE;TRUE;FALSE;FALSE
Spinatknudel mit porree und sellerie;;FALSE;FALSE;TRUE;FALSE;FALSE
Kartoffel Spinat Siegelei;;FALSE;FALSE;TRUE;FALSE;FALSE
Salbeinudeln;;FALSE;FALSE;TRUE;FALSE;FALSE
Spinat oder Gemuese Lasagne;;FALSE;FALSE;TRUE;FALSE;FALSE
cacio e pepe;;FALSE;FALSE;TRUE;FALSE;FALSE
Gnocchi Gemuse Pfanne;;FALSE;FALSE;TRUE;FALSE;FALSE
Zucchini nudeln;;FALSE;FALSE;TRUE;FALSE;FALSE
Tartiflette;;FALSE;FALSE;TRUE;FALSE;FALSE
Gemuse mit reis;;FALSE;FALSE;TRUE;FALSE;FALSE
ratatui mit reis, oder erdaepfel;;FALSE;FALSE;TRUE;FALSE;FALSE
Kartoffel-Gemuse-Puffer vom Tischgrill;;FALSE;FALSE;TRUE;FALSE;FALSE
Risotto;;FALSE;FALSE;TRUE;FALSE;FALSE
Griechische Pizza, Buchweizenteig;;FALSE;FALSE;TRUE;FALSE;FALSE
Bohnen mit reis(asia);;FALSE;FALSE;TRUE;FALSE;FALSE
Wurziger Kartoffel kase kuchen;;FALSE;FALSE;TRUE;FALSE;FALSE
Pikante Buchweizenpalatschinken;;FALSE;FALSE;TRUE;FALSE;FALSE
Karfiol-Omlett mit topfen und oder sauerrahm;;FALSE;FALSE;TRUE;FALSE;FALSE
20er Laibchen mit Kurbis;;FALSE;FALSE;TRUE;FALSE;FALSE
Kartoffelpuffer mit Sellerie und burlacuh;;FALSE;FALSE;TRUE;FALSE;FALSE
vegi-chilli;;FALSE;FALSE;TRUE;FALSE;FALSE
Pellkartoffeln mit Topfen & Schnittlauch oder barlauch;;FALSE;FALSE;TRUE;FALSE;FALSE
Grune Soue mit Kartoffeln und ei und Spargel;;FALSE;FALSE;TRUE;FALSE;FALSE
Mais mit Bohnen (sudami);;FALSE;FALSE;TRUE;FALSE;FALSE
Gerste mit Bohnen (eu);;FALSE;FALSE;TRUE;FALSE;FALSE
Vegi-Wok;;FALSE;FALSE;TRUE;FALSE;FALSE
rindssuppe;;FALSE;FALSE;FALSE;FALSE;FALSE
huhnersuppe;;FALSE;FALSE;FALSE;FALSE;FALSE
Schlutzkrapferlsuppe;;FALSE;FALSE;FALSE;FALSE;FALSE
2er Suppe;;FALSE;FALSE;FALSE;FALSE;FALSE
haferschleimsuppe;;FALSE;FALSE;FALSE;FALSE;FALSE
Gemuesesuppe;;FALSE;FALSE;FALSE;FALSE;FALSE
griesnockerlsuppe;;FALSE;FALSE;FALSE;FALSE;FALSE
salat;;FALSE;FALSE;FALSE;FALSE;FALSE
suppe;;FALSE;FALSE;FALSE;FALSE;FALSE
Rohkost/Gemueseteller;;TRUE;FALSE;FALSE;FALSE;FALSE
Zoodles mit Pilzsosse vegi;Schwammerl kleinschneiden und anbraten in Butter oder Olivenöl, und zu einer Soße machen. Zucchininudeln kurz in Wasser duensten. Servieren;FALSE;TRUE;TRUE;FALSE;FALSE
Zoodles mit Fisch-Pilzsosse;Schwammerl kleinschneiden und anbraten in Butter oder Olivenöl, und zu einer Fisch Soße machen. Zucchininudeln kurz in Wasser duensten. Servieren;FALSE;TRUE;TRUE;FALSE;TRUE
